Probe Set Name	Description
ENSG00000003989_at	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:HGNC Symbol;Acc:HGNC:11060]
ENSG00000004059_at	ADP-ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]
ENSG00000004139_at	sterile alpha and TIR motif containing 1 [Source:HGNC Symbol;Acc:HGNC:17074]
ENSG00000004142_at	polymerase (DNA-directed), delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]
ENSG00000004399_at	plexin D1 [Source:HGNC Symbol;Acc:HGNC:9107]
ENSG00000004455_at	adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]
ENSG00000004468_at	CD38 molecule [Source:HGNC Symbol;Acc:HGNC:1667]
ENSG00000004478_at	FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:HGNC:3720]
ENSG00000004487_at	lysine (K)-specific demethylase 1A [Source:HGNC Symbol;Acc:HGNC:29079]
ENSG00000004534_at	RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]
ENSG00000004700_at	RecQ helicase-like [Source:HGNC Symbol;Acc:HGNC:9948]
ENSG00000004766_at	VPS50 EARP/GARPII complex subunit [Source:HGNC Symbol;Acc:HGNC:25956]
ENSG00000004776_at	heat shock protein, alpha-crystallin-related, B6 [Source:HGNC Symbol;Acc:HGNC:26511]
ENSG00000004777_at	Rho GTPase activating protein 33 [Source:HGNC Symbol;Acc:HGNC:23085]
ENSG00000004779_at	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa [Source:HGNC Symbol;Acc:HGNC:7694]
ENSG00000004799_at	pyruvate dehydrogenase kinase, isozyme 4 [Source:HGNC Symbol;Acc:HGNC:8812]
ENSG00000004838_at	zinc finger, MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]
ENSG00000004864_at	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:HGNC:10983]
ENSG00000004866_at	suppression of tumorigenicity 7 [Source:HGNC Symbol;Acc:HGNC:11351]
ENSG00000004897_at	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]
ENSG00000004939_at	solute carrier family 4 (anion exchanger), member 1 (Diego blood group) [Source:HGNC Symbol;Acc:HGNC:11027]
ENSG00000004948_at	calcitonin receptor [Source:HGNC Symbol;Acc:HGNC:1440]
ENSG00000004961_at	holocytochrome c synthase [Source:HGNC Symbol;Acc:HGNC:4837]
ENSG00000004975_at	dishevelled segment polarity protein 2 [Source:HGNC Symbol;Acc:HGNC:3086]
ENSG00000005001_at	protease, serine, 22 [Source:HGNC Symbol;Acc:HGNC:14368]
ENSG00000005007_at	UPF1 regulator of nonsense transcripts homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:9962]
ENSG00000005020_at	src kinase associated phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:15687]
ENSG00000005022_at	solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5 [Source:HGNC Symbol;Acc:HGNC:10991]
ENSG00000005059_at	coiled-coil domain containing 109B [Source:HGNC Symbol;Acc:HGNC:26076]
ENSG00000005073_at	homeobox A11 [Source:HGNC Symbol;Acc:HGNC:5101]
ENSG00000005075_at	polymerase (RNA) II (DNA directed) polypeptide J, 13.3kDa [Source:HGNC Symbol;Acc:HGNC:9197]
ENSG00000005102_at	mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]
ENSG00000005108_at	thrombospondin, type I, domain containing 7A [Source:HGNC Symbol;Acc:HGNC:22207]
ENSG00000005156_at	ligase III, DNA, ATP-dependent [Source:HGNC Symbol;Acc:HGNC:6600]
ENSG00000005175_at	RNA polymerase II associated protein 3 [Source:HGNC Symbol;Acc:HGNC:26151]
ENSG00000005187_at	acyl-CoA synthetase medium-chain family member 3 [Source:HGNC Symbol;Acc:HGNC:10522]
ENSG00000005189_at	Putative RNA exonuclease NEF-sp  [Source:UniProtKB/Swiss-Prot;Acc:Q96IC2]
ENSG00000005194_at	cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]
ENSG00000005206_at	signal peptide peptidase like 2B [Source:HGNC Symbol;Acc:HGNC:30627]
ENSG00000005238_at	family with sequence similarity 214, member B [Source:HGNC Symbol;Acc:HGNC:25666]
ENSG00000005243_at	coatomer protein complex, subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]
ENSG00000005249_at	protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:HGNC:9392]
ENSG00000005302_at	male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:HGNC:7370]
ENSG00000005339_at	CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]
ENSG00000005379_at	benzodiazepine receptor (peripheral) associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]
ENSG00000005381_at	myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]
ENSG00000005421_at	paraoxonase 1 [Source:HGNC Symbol;Acc:HGNC:9204]
ENSG00000005436_at	GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]
ENSG00000005469_at	carnitine O-octanoyltransferase [Source:HGNC Symbol;Acc:HGNC:2366]
ENSG00000005471_at	ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:HGNC:45]
ENSG00000005700_at	inhibitor of Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:17853]
ENSG00000005801_at	zinc finger protein 195 [Source:HGNC Symbol;Acc:HGNC:12986]
ENSG00000005810_at	MYC binding protein 2, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:23386]
ENSG00000005844_at	integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:HGNC:6148]
ENSG00000005882_at	pyruvate dehydrogenase kinase, isozyme 2 [Source:HGNC Symbol;Acc:HGNC:8810]
ENSG00000005884_at	integrin, alpha 3 (antigen CD49C, alpha 3 subunit of VLA-3 receptor) [Source:HGNC Symbol;Acc:HGNC:6139]
ENSG00000005889_at	zinc finger protein, X-linked [Source:HGNC Symbol;Acc:HGNC:12869]
ENSG00000005893_at	lysosomal-associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]
ENSG00000005961_at	integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:HGNC:6138]
ENSG00000005981_at	ankyrin repeat and SOCS box containing 4 [Source:HGNC Symbol;Acc:HGNC:16009]
ENSG00000006007_at	glycerophosphodiester phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:29644]
ENSG00000006015_at	chromosome 19 open reading frame 60 [Source:HGNC Symbol;Acc:HGNC:26098]
ENSG00000006016_at	cytokine receptor-like factor 1 [Source:HGNC Symbol;Acc:HGNC:2364]
ENSG00000006025_at	oxysterol binding protein-like 7 [Source:HGNC Symbol;Acc:HGNC:16387]
ENSG00000006047_at	Y box binding protein 2 [Source:HGNC Symbol;Acc:HGNC:17948]
ENSG00000006062_at	mitogen-activated protein kinase kinase kinase 14 [Source:HGNC Symbol;Acc:HGNC:6853]
ENSG00000006071_at	ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:HGNC:59]
ENSG00000006116_at	calcium channel, voltage-dependent, gamma subunit 3 [Source:HGNC Symbol;Acc:HGNC:1407]
ENSG00000006118_at	transmembrane protein 132A [Source:HGNC Symbol;Acc:HGNC:31092]
ENSG00000006128_at	tachykinin, precursor 1 [Source:HGNC Symbol;Acc:HGNC:11517]
ENSG00000006194_at	zinc finger protein 263 [Source:HGNC Symbol;Acc:HGNC:13056]
ENSG00000006210_at	chemokine (C-X3-C motif) ligand 1 [Source:HGNC Symbol;Acc:HGNC:10647]
ENSG00000006282_at	spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]
ENSG00000006283_at	calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:HGNC:1394]
ENSG00000006327_at	tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:HGNC:18152]
ENSG00000006377_at	distal-less homeobox 6 [Source:HGNC Symbol;Acc:HGNC:2919]
ENSG00000006432_at	mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:HGNC:6861]
ENSG00000006451_at	v-ral simian leukemia viral oncogene homolog A (ras related) [Source:HGNC Symbol;Acc:HGNC:9839]
ENSG00000006459_at	lysine (K)-specific demethylase 7A [Source:HGNC Symbol;Acc:HGNC:22224]
ENSG00000006468_at	ets variant 1 [Source:HGNC Symbol;Acc:HGNC:3490]
ENSG00000006530_at	acylglycerol kinase [Source:HGNC Symbol;Acc:HGNC:21869]
ENSG00000006534_at	aldehyde dehydrogenase 3 family, member B1 [Source:HGNC Symbol;Acc:HGNC:410]
ENSG00000006555_at	tetratricopeptide repeat domain 22 [Source:HGNC Symbol;Acc:HGNC:26067]
ENSG00000006576_at	putative homeodomain transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:13411]
ENSG00000006607_at	FERM, RhoGEF and pleckstrin domain protein 2 [Source:HGNC Symbol;Acc:HGNC:16460]
ENSG00000006611_at	Usher syndrome 1C [Source:HGNC Symbol;Acc:HGNC:12597]
ENSG00000006625_at	gamma-glutamylcyclotransferase [Source:HGNC Symbol;Acc:HGNC:21705]
ENSG00000006634_at	DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]
ENSG00000006638_at	thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]
ENSG00000006652_at	interferon-related developmental regulator 1 [Source:HGNC Symbol;Acc:HGNC:5456]
ENSG00000006659_at	lectin, galactoside-binding, soluble, 14 [Source:HGNC Symbol;Acc:HGNC:30054]
ENSG00000006695_at	COX10 heme A:farnesyltransferase cytochrome c oxidase assembly factor [Source:HGNC Symbol;Acc:HGNC:2260]
ENSG00000006704_at	GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]
ENSG00000006712_at	PAF1 homolog, Paf1/RNA polymerase II complex component [Source:HGNC Symbol;Acc:HGNC:25459]
ENSG00000006715_at	vacuolar protein sorting 41 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:12713]
ENSG00000006740_at	Rho GTPase activating protein 44 [Source:HGNC Symbol;Acc:HGNC:29096]
ENSG00000006744_at	elaC ribonuclease Z 2 [Source:HGNC Symbol;Acc:HGNC:14198]
ENSG00000006747_at	scinderin [Source:HGNC Symbol;Acc:HGNC:21695]
ENSG00000006756_at	arylsulfatase D [Source:HGNC Symbol;Acc:HGNC:717]
ENSG00000006757_at	patatin-like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]
ENSG00000006788_at	myosin, heavy chain 13, skeletal muscle [Source:HGNC Symbol;Acc:HGNC:7571]
ENSG00000006831_at	adiponectin receptor 2 [Source:HGNC Symbol;Acc:HGNC:24041]
ENSG00000007038_at	protease, serine, 21 (testisin) [Source:HGNC Symbol;Acc:HGNC:9485]
ENSG00000007047_at	MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:HGNC:13538]
ENSG00000007062_at	prominin 1 [Source:HGNC Symbol;Acc:HGNC:9454]
ENSG00000007168_at	platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa) [Source:HGNC Symbol;Acc:HGNC:8574]
ENSG00000007171_at	nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:HGNC:7873]
ENSG00000007174_at	dynein, axonemal, heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]
ENSG00000007202_at	KIAA0100 [Source:HGNC Symbol;Acc:HGNC:28960]
ENSG00000007216_at	solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:HGNC:10917]
ENSG00000007237_at	growth arrest-specific 7 [Source:HGNC Symbol;Acc:HGNC:4169]
ENSG00000007255_at	trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]
ENSG00000007264_at	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]
ENSG00000007306_at	carcinoembryonic antigen-related cell adhesion molecule 7 [Source:HGNC Symbol;Acc:HGNC:1819]
ENSG00000007312_at	CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:HGNC:1699]
ENSG00000007314_at	sodium channel, voltage gated, type IV alpha subunit [Source:HGNC Symbol;Acc:HGNC:10591]
ENSG00000007341_at	suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]
ENSG00000007350_at	transketolase-like 1 [Source:HGNC Symbol;Acc:HGNC:11835]
ENSG00000007372_at	paired box 6 [Source:HGNC Symbol;Acc:HGNC:8620]
ENSG00000007384_at	rhomboid 5 homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:20561]
ENSG00000007392_at	LUC7-like [Source:HGNC Symbol;Acc:HGNC:6723]
ENSG00000007402_at	calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:HGNC Symbol;Acc:HGNC:1400]
ENSG00000007516_at	BAI1-associated protein 3 [Source:HGNC Symbol;Acc:HGNC:948]
ENSG00000007520_at	TSR3, 20S rRNA accumulation, homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:14175]
ENSG00000007541_at	phosphatidylinositol glycan anchor biosynthesis, class Q [Source:HGNC Symbol;Acc:HGNC:14135]
ENSG00000007866_at	TEA domain family member 3 [Source:HGNC Symbol;Acc:HGNC:11716]
ENSG00000007908_at	selectin E [Source:HGNC Symbol;Acc:HGNC:10718]
ENSG00000007923_at	DnaJ (Hsp40) homolog, subfamily C, member 11 [Source:HGNC Symbol;Acc:HGNC:25570]
ENSG00000007933_at	flavin containing monooxygenase 3 [Source:HGNC Symbol;Acc:HGNC:3771]
ENSG00000007944_at	myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]
ENSG00000007952_at	NADPH oxidase 1 [Source:HGNC Symbol;Acc:HGNC:7889]
ENSG00000007968_at	E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]
ENSG00000008018_at	proteasome (prosome, macropain) subunit, beta type, 1 [Source:HGNC Symbol;Acc:HGNC:9537]
ENSG00000008056_at	synapsin I [Source:HGNC Symbol;Acc:HGNC:11494]
ENSG00000008083_at	jumonji, AT rich interactive domain 2 [Source:HGNC Symbol;Acc:HGNC:6196]
ENSG00000008086_at	cyclin-dependent kinase-like 5 [Source:HGNC Symbol;Acc:HGNC:11411]
ENSG00000008118_at	calcium/calmodulin-dependent protein kinase IG [Source:HGNC Symbol;Acc:HGNC:14585]
ENSG00000008130_at	NAD kinase [Source:HGNC Symbol;Acc:HGNC:29831]
ENSG00000008196_at	transcription factor AP-2 beta (activating enhancer binding protein 2 beta) [Source:HGNC Symbol;Acc:HGNC:11743]
ENSG00000008226_at	deleted in lung and esophageal cancer 1 [Source:HGNC Symbol;Acc:HGNC:2899]
ENSG00000008256_at	cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]
ENSG00000008277_at	ADAM metallopeptidase domain 22 [Source:HGNC Symbol;Acc:HGNC:201]
ENSG00000008282_at	synaptophysin-like 1 [Source:HGNC Symbol;Acc:HGNC:11507]
ENSG00000008283_at	cytochrome b561 [Source:HGNC Symbol;Acc:HGNC:2571]
ENSG00000008294_at	sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]
ENSG00000008300_at	cadherin, EGF LAG seven-pass G-type receptor 3 [Source:HGNC Symbol;Acc:HGNC:3230]
ENSG00000008311_at	aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]
ENSG00000008323_at	pleckstrin homology domain containing, family G (with RhoGef domain) member 6 [Source:HGNC Symbol;Acc:HGNC:25562]
ENSG00000008324_at	synovial sarcoma translocation gene on chromosome 18-like 2 [Source:HGNC Symbol;Acc:HGNC:15593]
ENSG00000008405_at	cryptochrome circadian clock 1 [Source:HGNC Symbol;Acc:HGNC:2384]
ENSG00000008438_at	peptidoglycan recognition protein 1 [Source:HGNC Symbol;Acc:HGNC:8904]
ENSG00000008441_at	nuclear factor I/X (CCAAT-binding transcription factor) [Source:HGNC Symbol;Acc:HGNC:7788]
ENSG00000008513_at	ST3 beta-galactoside alpha-2,3-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10862]
ENSG00000008516_at	matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]
ENSG00000008517_at	interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]
ENSG00000008710_at	polycystic kidney disease 1 (autosomal dominant) [Source:HGNC Symbol;Acc:HGNC:9008]
ENSG00000008735_at	mitogen-activated protein kinase 8 interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:6883]
ENSG00000008838_at	mediator complex subunit 24 [Source:HGNC Symbol;Acc:HGNC:22963]
ENSG00000008853_at	Rho-related BTB domain containing 2 [Source:HGNC Symbol;Acc:HGNC:18756]
ENSG00000008952_at	SEC62 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:11846]
ENSG00000008988_at	ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]
ENSG00000009307_at	cold shock domain containing E1, RNA-binding [Source:HGNC Symbol;Acc:HGNC:29905]
ENSG00000009335_at	ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]
ENSG00000009413_at	REV3-like, polymerase (DNA directed), zeta, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]
ENSG00000009694_at	teneurin transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:8117]
ENSG00000009709_at	paired box 7 [Source:HGNC Symbol;Acc:HGNC:8621]
ENSG00000009724_at	mannan-binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:HGNC:6902]
ENSG00000009780_at	family with sequence similarity 76, member A [Source:HGNC Symbol;Acc:HGNC:28530]
ENSG00000009790_at	TRAF3 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:30766]
ENSG00000009830_at	protein-O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]
ENSG00000009950_at	MLX interacting protein-like [Source:HGNC Symbol;Acc:HGNC:12744]
ENSG00000009954_at	bromodomain adjacent to zinc finger domain, 1B [Source:HGNC Symbol;Acc:HGNC:961]
ENSG00000010017_at	RAN binding protein 9 [Source:HGNC Symbol;Acc:HGNC:13727]
ENSG00000010030_at	ets variant 7 [Source:HGNC Symbol;Acc:HGNC:18160]
ENSG00000010165_at	methyltransferase like 13 [Source:HGNC Symbol;Acc:HGNC:24248]
ENSG00000010244_at	zinc finger protein 207 [Source:HGNC Symbol;Acc:HGNC:12998]
ENSG00000010256_at	ubiquinol-cytochrome c reductase core protein I [Source:HGNC Symbol;Acc:HGNC:12585]
ENSG00000010278_at	CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]
ENSG00000010292_at	non-SMC condensin I complex, subunit D2 [Source:HGNC Symbol;Acc:HGNC:24305]
ENSG00000010295_at	intermediate filament family orphan 1 [Source:HGNC Symbol;Acc:HGNC:24970]
ENSG00000010310_at	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]
ENSG00000010318_at	PHD finger protein 7 [Source:HGNC Symbol;Acc:HGNC:18458]
ENSG00000010319_at	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3G [Source:HGNC Symbol;Acc:HGNC:30400]
ENSG00000010322_at	nischarin [Source:HGNC Symbol;Acc:HGNC:18006]
ENSG00000010327_at	stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]
ENSG00000010361_at	fuzzy planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:26219]
ENSG00000010379_at	solute carrier family 6 (neurotransmitter transporter), member 13 [Source:HGNC Symbol;Acc:HGNC:11046]
ENSG00000010404_at	iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]
ENSG00000010438_at	protease, serine, 3 [Source:HGNC Symbol;Acc:HGNC:9486]
ENSG00000010539_at	zinc finger protein 200 [Source:HGNC Symbol;Acc:HGNC:12993]
ENSG00000010610_at	CD4 molecule [Source:HGNC Symbol;Acc:HGNC:1678]
ENSG00000010626_at	leucine rich repeat containing 23 [Source:HGNC Symbol;Acc:HGNC:19138]
ENSG00000010671_at	Bruton agammaglobulinemia tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133]
ENSG00000010704_at	hemochromatosis [Source:HGNC Symbol;Acc:HGNC:4886]
ENSG00000010803_at	sex comb on midleg homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:19003]
ENSG00000010810_at	FYN proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:4037]
ENSG00000010818_at	human immunodeficiency virus type I enhancer binding protein 2 [Source:HGNC Symbol;Acc:HGNC:4921]
ENSG00000010932_at	flavin containing monooxygenase 1 [Source:HGNC Symbol;Acc:HGNC:3769]
ENSG00000011007_at	transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A) [Source:HGNC Symbol;Acc:HGNC:11620]
ENSG00000011009_at	lysophospholipase II [Source:HGNC Symbol;Acc:HGNC:6738]
ENSG00000011021_at	chloride channel, voltage-sensitive 6 [Source:HGNC Symbol;Acc:HGNC:2024]
ENSG00000011028_at	mannose receptor, C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]
ENSG00000011083_at	solute carrier family 6 (neurotransmitter transporter), member 7 [Source:HGNC Symbol;Acc:HGNC:11054]
ENSG00000011105_at	tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]
ENSG00000011114_at	BTB (POZ) domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18269]
ENSG00000011132_at	amyloid beta (A4) precursor protein-binding, family A, member 3 [Source:HGNC Symbol;Acc:HGNC:580]
ENSG00000011143_at	Meckel syndrome, type 1 [Source:HGNC Symbol;Acc:HGNC:7121]
ENSG00000011198_at	abhydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:21396]
ENSG00000011201_at	anosmin 1 [Source:HGNC Symbol;Acc:HGNC:6211]
ENSG00000011243_at	A kinase (PRKA) anchor protein 8-like [Source:HGNC Symbol;Acc:HGNC:29857]
ENSG00000011258_at	mbt domain containing 1 [Source:HGNC Symbol;Acc:HGNC:19866]
ENSG00000011260_at	UTP18 small subunit (SSU) processome component homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:24274]
ENSG00000011275_at	ring finger protein 216 [Source:HGNC Symbol;Acc:HGNC:21698]
ENSG00000011295_at	tetratricopeptide repeat domain 19 [Source:HGNC Symbol;Acc:HGNC:26006]
ENSG00000011304_at	polypyrimidine tract binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9583]
ENSG00000011332_at	D4, zinc and double PHD fingers family 1 [Source:HGNC Symbol;Acc:HGNC:20225]
ENSG00000011376_at	leucyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17095]
ENSG00000011405_at	phosphatidylinositol-4-phosphate 3-kinase, catalytic subunit type 2 alpha [Source:HGNC Symbol;Acc:HGNC:8971]
ENSG00000011422_at	plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:HGNC:9053]
ENSG00000011451_at	widely interspaced zinc finger motifs [Source:HGNC Symbol;Acc:HGNC:30917]
ENSG00000011454_at	RAB GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:17155]
ENSG00000011465_at	decorin [Source:HGNC Symbol;Acc:HGNC:2705]
